x 		|		 y
---------------------
-1.98	|	-0.962587
-1.94	|	-0.959534
-1.9	|	-0.956237
-1.86	|	-0.952679
-1.82	|	-0.948838
-1.78	|	-0.944695
-1.74	|	-0.940227
-1.7	|	-0.935409
-1.66	|	-0.930217
-1.62	|	-0.924624
-1.58	|	-0.918602
-1.54	|	-0.91212
-1.5	|	-0.905148
-1.46	|	-0.897653
-1.42	|	-0.889599
-1.38	|	-0.880951
-1.34	|	-0.871672
-1.3	|	-0.861723
-1.26	|	-0.851064
-1.22	|	-0.839654
-1.18	|	-0.827452
-1.14	|	-0.814414
-1.1	|	-0.800499
-1.06	|	-0.785664
-1.02	|	-0.769867
-0.98	|	-0.753066
-0.94	|	-0.735222
-0.9	|	-0.716298
-0.86	|	-0.696258
-0.82	|	-0.67507
-0.78	|	-0.652707
-0.74	|	-0.629145
-0.7	|	-0.604368
-0.66	|	-0.578363
-0.62	|	-0.551128
-0.58	|	-0.522665
-0.54	|	-0.492988
-0.5	|	-0.462117
-0.46	|	-0.430084
-0.42	|	-0.39693
-0.38	|	-0.362707
-0.34	|	-0.327477
-0.3	|	-0.291313
-0.26	|	-0.254296
-0.22	|	-0.216518
-0.18	|	-0.178081
-0.14	|	-0.139092
-0.1	|	-0.099668
-0.06	|	-0.0599281
-0.02	|	-0.0199973
0.02	|	0.0199973
0.06	|	0.0599281
0.1	|	0.099668
0.14	|	0.139092
0.18	|	0.178081
0.22	|	0.216518
0.26	|	0.254296
0.3	|	0.291313
0.34	|	0.327477
0.38	|	0.362707
0.42	|	0.39693
0.46	|	0.430084
0.5	|	0.462117
0.54	|	0.492988
0.58	|	0.522665
0.62	|	0.551128
0.66	|	0.578363
0.7	|	0.604368
0.74	|	0.629145
0.78	|	0.652707
0.82	|	0.67507
0.86	|	0.696258
0.9	|	0.716298
0.94	|	0.735222
0.98	|	0.753066
1.02	|	0.769867
1.06	|	0.785664
1.1	|	0.800499
1.14	|	0.814414
1.18	|	0.827452
1.22	|	0.839654
1.26	|	0.851064
1.3	|	0.861723
1.34	|	0.871672
1.38	|	0.880951
1.42	|	0.889599
1.46	|	0.897653
1.5	|	0.905148
1.54	|	0.91212
1.58	|	0.918602
1.62	|	0.924624
1.66	|	0.930217
1.7	|	0.935409
1.74	|	0.940227
1.78	|	0.944695
1.82	|	0.948838
1.86	|	0.952679
1.9	|	0.956237
1.94	|	0.959534
1.98	|	0.962587
